epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,81.4678,0.19697,0.25115,0.79991,0.99921,0.99762,0.99337,0.99321,0.13177,0.18207,0.76509,0.000341077,0.000341077,0.000341077
72,82.5807,0.1902,0.25039,0.79817,0.99932,0.99762,0.99336,0.99284,0.13067,0.17919,0.76481,0.000330078,0.000330078,0.000330078
73,83.6746,0.19236,0.24714,0.78852,0.99927,0.99762,0.99335,0.99266,0.12796,0.17539,0.76453,0.000319079,0.000319079,0.000319079
74,84.7633,0.18633,0.24216,0.79475,0.9992,0.99762,0.99336,0.99336,0.13009,0.17732,0.76397,0.00030808,0.00030808,0.00030808
75,85.8594,0.19038,0.24309,0.79604,0.9991,0.99762,0.99332,0.99309,0.12558,0.17414,0.7641,0.000297081,0.000297081,0.000297081
76,86.9627,0.18874,0.23862,0.79129,0.99919,0.99762,0.99332,0.99313,0.1264,0.1717,0.76394,0.000286083,0.000286083,0.000286083
77,88.0799,0.19252,0.24319,0.79811,0.99917,0.99762,0.99331,0.99331,0.12113,0.17012,0.7635,0.000275084,0.000275084,0.000275084
78,89.2196,0.18894,0.24107,0.79224,0.99918,0.99762,0.99333,0.99311,0.12212,0.17024,0.76321,0.000264085,0.000264085,0.000264085
79,90.4408,0.18764,0.24015,0.79745,0.99917,0.99762,0.99339,0.99321,0.12279,0.1639,0.76351,0.000253086,0.000253086,0.000253086
80,91.5086,0.18467,0.23965,0.80074,0.99893,0.99762,0.9934,0.99245,0.12257,0.16232,0.76335,0.000242087,0.000242087,0.000242087
81,92.6254,0.18064,0.23138,0.79158,0.99891,0.99762,0.99339,0.99252,0.12482,0.16426,0.76355,0.000231088,0.000231088,0.000231088
82,93.7706,0.17344,0.22841,0.79994,0.99878,0.99762,0.9934,0.99322,0.12115,0.16269,0.76336,0.000220089,0.000220089,0.000220089
