epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,79.1531,0.19508,0.29679,0.78121,0.99764,1,0.995,0.9944,0.13877,0.20333,0.77087,0.000187092,0.000187092,0.000187092
86,79.7321,0.20059,0.29259,0.78651,0.99758,1,0.995,0.99378,0.13102,0.20009,0.76961,0.000176094,0.000176094,0.000176094
87,80.3176,0.2061,0.29719,0.78423,0.99755,1,0.995,0.99437,0.12719,0.19487,0.76956,0.000165095,0.000165095,0.000165095
88,80.8921,0.19353,0.28429,0.78317,0.99741,1,0.995,0.995,0.1317,0.19443,0.76922,0.000154096,0.000154096,0.000154096
89,81.4802,0.20157,0.28809,0.78696,0.99733,1,0.995,0.995,0.13077,0.19434,0.76939,0.000143097,0.000143097,0.000143097
90,82.05,0.19102,0.29507,0.78915,0.99717,1,0.995,0.995,0.12526,0.19224,0.76866,0.000132098,0.000132098,0.000132098
91,83.1107,0.17211,0.3132,0.76292,0.99669,1,0.995,0.99393,0.13094,0.20508,0.76858,0.000121099,0.000121099,0.000121099
92,83.6614,0.17314,0.32482,0.76496,0.99631,1,0.995,0.995,0.13466,0.22465,0.76952,0.0001101,0.0001101,0.0001101
93,84.3125,0.16658,0.32712,0.7757,0.9968,1,0.995,0.99393,0.13222,0.22466,0.76918,9.91012e-05,9.91012e-05,9.91012e-05
94,84.849,0.17031,0.32078,0.77381,0.9977,1,0.995,0.99393,0.12801,0.20207,0.76856,8.81023e-05,8.81023e-05,8.81023e-05
95,85.3873,0.17268,0.31359,0.75769,0.99786,1,0.995,0.99393,0.12837,0.19134,0.76869,7.71034e-05,7.71034e-05,7.71034e-05
96,85.9504,0.15814,0.29811,0.77022,0.99781,1,0.995,0.99387,0.13218,0.19575,0.76876,6.61045e-05,6.61045e-05,6.61045e-05
97,86.5114,0.16272,0.30301,0.75971,0.99771,1,0.995,0.99387,0.13152,0.1967,0.76881,5.51056e-05,5.51056e-05,5.51056e-05
98,87.0518,0.16399,0.30182,0.76751,0.99744,1,0.995,0.9939,0.12728,0.19466,0.7688,4.41067e-05,4.41067e-05,4.41067e-05
99,87.6055,0.16257,0.31263,0.77802,0.99726,1,0.995,0.9939,0.12411,0.19518,0.76874,3.31078e-05,3.31078e-05,3.31078e-05
100,88.1389,0.15865,0.30442,0.77,0.99725,1,0.995,0.99378,0.12313,0.19604,0.7687,2.21089e-05,2.21089e-05,2.21089e-05
